R68,366409.3232,8710682.2969,3607.9896,,,,,,,,,
1,366406.0007,8710679.1609,3607.7282,L,,,,,,,,
2,366406.3966,8710680.0715,3607.7237,L,,,,,,,,
3,366406.5713,8710680.8106,3607.6628,L,,,,,,,,
4,366406.2757,8710681.1320,3607.6263,L,,,,,,,,
5,366406.6168,8710681.7435,3607.5667,L,,,,,,,,
6,366406.1547,8710682.3463,3607.5046,L,,,,,,,,
7,366405.5543,8710682.5419,3607.4281,L,,,,,,,,
8,366404.2347,8710682.7769,3607.2483,L,,,,,,,,
9,366403.3314,8710683.4776,3607.1648,L,,,,,,,,
10,366402.3163,8710683.9347,3607.0179,L,,,,,,,,
11,366400.9093,8710684.8957,3606.7578,L,,,,,,,,
12,366400.1811,8710685.5705,3606.5765,L,,,,,,,,
13,366399.0118,8710686.3107,3606.2390,L,,,,,,,,
14,366402.6820,8710687.5365,3606.3347,L,,,,,,,,
15,366403.8708,8710687.2051,3606.5344,L,,,,,,,,
16,366405.5307,8710686.8746,3606.9024,L,,,,,,,,
17,366407.1303,8710686.8503,3607.2305,L,,,,,,,,
18,366407.5573,8710686.8073,3607.3107,L,,,,,,,,
19,366408.4091,8710687.2069,3607.4045,L,,,,,,,,
20,366409.7396,8710687.3613,3607.4576,L,,,,,,,,
21,366410.6895,8710687.8750,3607.4812,L,,,,,,,,
22,366411.2216,8710688.9558,3607.4896,L,,,,,,,,
23,366402.1287,8710686.0630,3608.1115,T,,,,,,,,
24,366402.4891,8710685.7968,3608.7493,T,,,,,,,,
25,366402.9363,8710685.4315,3609.4178,T,,,,,,,,
26,366403.2423,8710685.2304,3609.7920,T,,,,,,,,
27,366404.7166,8710684.3509,3609.5537,T,,,,,,,,
28,366405.8829,8710683.5318,3609.6941,T,,,,,,,,
29,366406.8894,8710682.7449,3609.9661,T,,,,,,,,
30,366407.8323,8710681.9730,3610.1964,T,,,,,,,,
31,366408.5814,8710681.2548,3610.3914,T,,,,,,,,
32,366402.1365,8710685.5575,3605.9435,P,,,,,,,,
33,366404.5409,8710683.7899,3606.1789,P,,,,,,,,
34,366406.8173,8710682.4017,3606.3899,P,,,,,,,,
35,366408.9708,8710680.9801,3606.4402,P,,,,,,,,
36,366409.0866,8710680.3361,3606.4805,P,,,,,,,,
G,366409.8863,8710679.6043,3609.8101,PP,,,,,,,,
G1,366410.2312,8710679.3544,3609.4950,PP,,,,,,,,
A4,366429.3726,8710704.7626,3607.3363,PP,,,,,,,,
A3,366431.8479,8710712.1139,3607.4386,PP,,,,,,,,
R69,366428.2160,8710710.6327,3607.8148,,,,,,,,,
A5,366426.0982,8710712.7764,3607.1036,PP,,,,,,,,
