R17,366227.7474,8710952.9443,3508.3157,,,,,,,,,
1,366232.5783,8710980.8992,3508.6108,L,,,,,,,,
2,366232.5687,8710979.0821,3508.6680,L,,,,,,,,
3,366232.4063,8710977.0599,3508.6655,L,,,,,,,,
4,366232.4180,8710976.3112,3508.6551,L,,,,,,,,
5,366231.8090,8710972.6747,3508.6026,L,,,,,,,,
6,366232.0078,8710972.4968,3508.6452,L,,,,,,,,
7,366232.3740,8710972.2090,3508.7239,L,,,,,,,,
8,366231.6260,8710968.6849,3508.6361,L,,,,,,,,
9,366231.9978,8710967.6412,3508.6329,L,,,,,,,,
10,366232.3943,8710967.0134,3508.5638,L,,,,,,,,
11,366232.4233,8710966.3349,3508.4592,L,,,,,,,,
12,366231.1747,8710962.4027,3508.3921,L,,,,,,,,
13,366231.2973,8710962.1933,3508.2157,L,,,,,,,,
14,366230.8326,8710958.9441,3508.2474,L,,,,,,,,
15,366231.0098,8710957.5388,3508.1657,L,,,,,,,,
16,366230.9216,8710957.2773,3508.1395,L,,,,,,,,
17,366232.1102,8710979.5423,3509.3806,L2,,,,,,,,
18,366232.4527,8710979.0411,3509.5984,L2,,,,,,,,
19,366232.3437,8710976.3384,3509.7047,L2,,,,,,,,
20,366232.1389,8710973.3869,3509.6815,L2,,,,,,,,
21,366232.1751,8710972.1768,3509.7373,L2,,,,,,,,
22,366232.1292,8710971.6315,3509.8245,L2,,,,,,,,
23,366231.8034,8710968.1330,3509.6986,L2,,,,,,,,
24,366232.0982,8710967.0612,3509.9329,L2,,,,,,,,
25,366231.9959,8710966.5907,3510.0748,L2,,,,,,,,
26,366232.2356,8710966.2385,3510.1288,L2,,,,,,,,
27,366230.9978,8710962.0205,3509.6087,L2,,,,,,,,
28,366230.1826,8710959.2590,3509.8168,L2,,,,,,,,
29,366229.9721,8710957.5554,3510.2004,L2,,,,,,,,
30,366229.6803,8710956.4198,3510.3255,L2,,,,,,,,
31,366231.2516,8710982.6906,3510.6927,L3,,,,,,,,
32,366231.2198,8710979.1121,3510.7292,L3,,,,,,,,
33,366230.8196,8710975.9920,3510.6017,L3,,,,,,,,
34,366230.4972,8710971.2966,3510.5208,L3,,,,,,,,
35,366230.4538,8710970.9975,3510.6895,L3,,,,,,,,
36,366230.1511,8710967.2083,3510.3034,L3,,,,,,,,
37,366230.2925,8710966.4627,3510.5090,L3,,,,,,,,
38,366230.3280,8710965.1360,3510.9034,L3,,,,,,,,
39,366230.4215,8710964.4657,3511.1942,L3,,,,,,,,
40,366229.6115,8710961.6883,3510.8834,L3,,,,,,,,
41,366229.2536,8710960.1898,3511.0076,L3,,,,,,,,
42,366229.0787,8710958.3817,3511.0587,L3,,,,,,,,
43,366229.1003,8710956.5950,3510.7963,L3,,,,,,,,
44,366228.9767,8710955.3393,3510.5267,L3,,,,,,,,
45,366229.4752,8710954.1859,3510.3458,L3,,,,,,,,
46,366230.4151,8710986.6452,3510.6968,T,,,,,,,,
47,366229.8587,8710980.5083,3510.4491,T,,,,,,,,
48,366229.5771,8710976.8200,3510.3317,T,,,,,,,,
49,366229.4480,8710975.1212,3510.5473,T,,,,,,,,
50,366229.4267,8710974.8458,3510.6789,T,,,,,,,,
51,366229.1284,8710970.9456,3510.5103,T,,,,,,,,
52,366229.0198,8710968.4072,3510.5121,T,,,,,,,,
53,366228.8824,8710966.7129,3510.6154,T,,,,,,,,
54,366228.7814,8710965.2468,3510.9425,T,,,,,,,,
55,366228.7248,8710963.7911,3511.3038,T,,,,,,,,
56,366228.6269,8710962.2977,3511.5861,T,,,,,,,,
57,366228.4804,8710959.5567,3511.1947,T,,,,,,,,
58,366228.4072,8710957.9486,3510.9986,T,,,,,,,,
59,366228.3435,8710956.4916,3510.7239,T,,,,,,,,
60,366228.1298,8710955.0154,3510.4949,T,,,,,,,,
