R43,366377.1400,8710976.2838,3565.6538,,,,,,,,,
P99,366386.2540,8710983.8783,3566.3281,PP,,,,,,,,
P100,366380.5968,8710984.2406,3565.9172,PP,,,,,,,,
1,366387.5172,8710988.0704,3570.0157,T,,,,,,,,
2,366386.4586,8710986.8650,3569.8995,T,,,,,,,,
3,366385.6641,8710985.9608,3569.8092,T,,,,,,,,
4,366384.5352,8710984.6799,3569.5721,T,,,,,,,,
5,366383.4591,8710983.4561,3569.4555,T,,,,,,,,
6,366382.6876,8710982.5800,3569.5317,T,,,,,,,,
7,366381.7132,8710981.4727,3569.1964,T,,,,,,,,
8,366380.4279,8710980.0037,3568.6244,T,,,,,,,,
9,366379.4841,8710978.4448,3568.3727,T,,,,,,,,
10,366378.6528,8710977.2504,3568.1254,T,,,,,,,,
11,366378.0830,8710976.0552,3567.8607,T,,,,,,,,
12,366377.4633,8710975.4390,3567.6744,T,,,,,,,,
13,366377.2113,8710974.6205,3567.4756,T,,,,,,,,
14,366377.0211,8710973.5541,3567.4252,T,,,,,,,,
15,366376.5869,8710972.4309,3567.2825,T,,,,,,,,
16,366376.1844,8710971.1077,3567.1283,T,,,,,,,,
17,366375.8166,8710970.2335,3566.9606,T,,,,,,,,
18,366375.4995,8710968.7746,3566.8765,T,,,,,,,,
19,366375.2207,8710967.3816,3566.7904,T,,,,,,,,
20,366375.0594,8710966.6390,3566.7296,T,,,,,,,,
21,366374.9297,8710965.7565,3566.7138,T,,,,,,,,
22,366374.7603,8710965.1005,3566.4669,T,,,,,,,,
23,366374.6207,8710964.4385,3566.3015,T,,,,,,,,
24,366374.5027,8710963.7200,3566.2165,T,,,,,,,,
25,366374.3349,8710962.8394,3566.1091,T,,,,,,,,
26,366374.2848,8710962.0133,3565.9650,T,,,,,,,,
27,366373.8893,8710958.3140,3565.9510,T,,,,,,,,
28,366373.7261,8710956.1317,3565.9193,T,,,,,,,,
29,366373.5265,8710954.9731,3565.7419,T,,,,,,,,
30,366373.3839,8710954.5605,3565.2438,T,,,,,,,,
31,366373.3537,8710954.0595,3564.4074,T,,,,,,,,
32,366374.1660,8710960.8460,3562.0258,P,,,,,,,,
33,366375.0114,8710965.2359,3562.7145,P,,,,,,,,
34,366375.5077,8710967.7969,3563.1057,P,,,,,,,,
35,366376.2056,8710970.1433,3563.4087,P,,,,,,,,
36,366376.6791,8710972.1157,3563.6628,P,,,,,,,,
37,366377.1391,8710973.6713,3563.8209,P,,,,,,,,
38,366377.2718,8710974.6571,3563.9269,P,,,,,,,,
39,366377.5070,8710975.3027,3564.0235,P,,,,,,,,
40,366378.2023,8710977.1250,3564.1912,P,,,,,,,,
41,366379.0693,8710978.2772,3564.4246,P,,,,,,,,
42,366380.1309,8710979.8056,3564.6807,P,,,,,,,,
43,366381.7307,8710981.7771,3565.0530,P,,,,,,,,
44,366384.2525,8710984.6585,3565.5397,P,,,,,,,,
45,366386.8016,8710987.4161,3566.0089,P,,,,,,,,
46,366389.9423,8710990.3311,3566.6396,P,,,,,,,,
47,366394.8982,8710995.0192,3567.6057,P,,,,,,,,
1,366370.4967,8710958.4878,3562.7737,L,,,,,,,,
2,366372.1579,8710961.7747,3563.3843,L,,,,,,,,
3,366371.9978,8710960.1130,3563.1762,L,,,,,,,,
4,366371.4013,8710957.1891,3562.9002,L,,,,,,,,
5,366371.7841,8710957.0772,3562.9003,L,,,,,,,,
6,366371.3600,8710955.1406,3562.7721,L,,,,,,,,
7,366371.4506,8710954.9516,3562.7522,L,,,,,,,,
8,366371.7965,8710954.8057,3562.7485,L,,,,,,,,
9,366372.9400,8710954.3894,3562.7986,L,,,,,,,,
10,366373.8283,8710954.0487,3562.7770,L,,,,,,,,
11,366374.7434,8710954.2594,3562.8214,L,,,,,,,,
12,366375.1178,8710954.3225,3562.8342,L,,,,,,,,
13,366375.5149,8710954.4876,3562.8592,L,,,,,,,,
14,366375.6938,8710954.6550,3562.8892,L,,,,,,,,
15,366376.2718,8710961.5879,3563.5603,L,,,,,,,,
16,366376.4724,8710961.7221,3563.5810,L,,,,,,,,
17,366376.8215,8710963.7901,3563.8762,L,,,,,,,,
18,366377.0504,8710965.1351,3564.0658,L,,,,,,,,
19,366377.2477,8710965.7265,3564.1494,L,,,,,,,,
1,366373.8955,8710960.4465,3561.9565,SEC,,,,,,,,
